country,cases,active,deaths,recovered,updated,lat,long
China,503302,118977,5272,379053,2025-06-19 13:54:20.900,35.0,105.0
Colombia,6400173,44821,143200,6212152,2025-06-19 13:54:20.659,4.0,-72.0
Comoros,9109,9,161,8939,2025-06-19 13:54:20.871,-12.1667,44.25
Congo,25375,983,386,24006,2025-06-19 13:54:20.841,-1.0,15.0
Cook Islands,7203,51,2,7150,2025-06-19 13:54:20.877,-21.2333,-159.7667
Costa Rica,1238883,1229455,9428,0,2025-06-19 13:54:20.717,10.0,-84.0
Croatia,1309728,32609,18687,1258432,2025-06-19 13:54:20.713,45.1667,15.5
Cuba,1115251,61,8530,1106660,2025-06-19 13:54:20.722,21.5,-80.0
Curaçao,45986,971,295,44720,2025-06-19 13:54:20.819,12.15,-68.97
Cyprus,681110,0,1365,679745,2025-06-19 13:54:20.737,35.0,33.0
Czechia,4759041,318,43517,4715206,2025-06-19 13:54:20.675,49.75,15.5
Côte d'Ivoire,88384,52,835,87497,2025-06-19 13:54:20.802,8.0,-5.0
DRC,99338,13381,1468,84489,2025-06-19 13:54:20.797,0.0,25.0
Denmark,3183756,0,8814,3174942,2025-06-19 13:54:20.686,56.0,10.0
Diamond Princess,712,0,13,699,2025-06-19 13:54:20.893,0.0,0.0
Djibouti,15690,74,189,15427,2025-06-19 13:54:20.858,11.5,43.0
Dominica,16038,0,74,15964,2025-06-19 13:54:20.857,15.4167,-61.3333
Dominican Republic,675890,190,4384,671316,2025-06-19 13:54:20.738,19.0,-70.6667
Ecuador,1070188,0,36043,1034145,2025-06-19 13:54:20.723,-2.0,-77.5
Egypt,516023,49228,24613,442182,2025-06-19 13:54:20.748,27.0,30.0
El Salvador,201855,18215,4230,179410,2025-06-19 13:54:20.784,13.8333,-88.9167
Equatorial Guinea,17229,139,183,16907,2025-06-19 13:54:20.852,2.0,10.0
Eritrea,10189,0,103,10086,2025-06-19 13:54:20.867,15.0,39.0
Estonia,628070,625069,3001,0,2025-06-19 13:54:20.744,59.0,26.0
Ethiopia,501157,5412,7574,488171,2025-06-19 13:54:20.752,8.0,38.0
Falkland Islands (Malvinas),1930,0,0,1930,2025-06-19 13:54:20.891,-51.75,-59.0
Faroe Islands,34658,34630,28,0,2025-06-19 13:54:20.829,62.0,-7.0
Fiji,69117,1006,885,67226,2025-06-19 13:54:20.808,-18.0,175.0
Finland,1516117,170,11958,1503989,2025-06-19 13:54:20.707,64.0,26.0
